Time µs,Current.Ia,Current.Ib,Current.Ic,Voltage.Va,Voltage.Vb,Voltage.Vc
1133827200006119040,1195.068359375,-931.396484375,-170.8984375,17443.84765625,-7446.2890625,-9765.625
1133827200006183936,1195.068359375,-931.396484375,-170.8984375,17370.60546875,-7031.25,-10070.80078125
1133827200006249984,1225.5859375,-895.99609375,-227.05078125,17370.60546875,-6726.07421875,-10424.8046875
1133827200006315008,1225.5859375,-895.99609375,-227.05078125,17224.12109375,-6323.2421875,-10876.46484375
1133827200006380032,1226.806640625,-871.58203125,-311.279296875,17260.7421875,-5798.33984375,-11047.36328125
1133827200006445056,1226.806640625,-871.58203125,-311.279296875,17028.80859375,-5554.19921875,-11523.4375
1133827200006509952,1282.958984375,-788.57421875,-345.458984375,17041.015625,-5053.7109375,-11779.78515625
1133827200006574976,1282.958984375,-788.57421875,-345.458984375,16955.56640625,-4675.29296875,-12072.75390625
1133827200006640000,1274.4140625,-772.705078125,-427.24609375,16870.1171875,-4284.66796875,-12414.55078125
1133827200006705024,1274.4140625,-772.705078125,-427.24609375,16723.6328125,-3857.421875,-12707.51953125
1133827200006770048,1308.59375,-712.890625,-485.83984375,16613.76953125,-3393.5546875,-12792.96875
1133827200006834944,1308.59375,-712.890625,-485.83984375,16528.3203125,-3051.7578125,-13244.62890625
1133827200006900992,1307.373046875,-673.828125,-535.888671875,16333.0078125,-2563.4765625,-13342.28515625
1133827200006966016,1307.373046875,-673.828125,-535.888671875,16052.24609375,-2331.54296875,-13818.359375
1133827200007031040,1317.138671875,-618.896484375,-589.599609375,15942.3828125,-1794.43359375,-14013.671875
1133827200007096064,1317.138671875,-618.896484375,-589.599609375,15808.10546875,-1281.73828125,-14208.984375
1133827200007160960,1326.904296875,-554.19921875,-643.310546875,15588.37890625,-903.3203125,-14404.296875
1133827200007225984,1326.904296875,-554.19921875,-643.310546875,15368.65234375,-463.8671875,-14624.0234375
1133827200007291008,1314.697265625,-511.474609375,-711.669921875,15173.33984375,-85.44921875,-14929.19921875
1133827200007356032,1314.697265625,-511.474609375,-711.669921875,14941.40625,366.2109375,-15075.68359375
1133827200007421056,1315.91796875,-450.439453125,-758.056640625,14746.09375,756.8359375,-15234.375
1133827200007485952,1315.91796875,-450.439453125,-758.056640625,14501.953125,1135.25390625,-15405.2734375
1133827200007552000,1320.80078125,-393.06640625,-814.208984375,14282.2265625,1684.5703125,-15710.44921875
1133827200007617024,1320.80078125,-393.06640625,-814.208984375,13952.63671875,2050.78125,-15808.10546875
1133827200007682048,1306.15234375,-338.134765625,-852.05078125,13684.08203125,2478.02734375,-15942.3828125
1133827200007746944,1306.15234375,-338.134765625,-852.05078125,13525.390625,2941.89453125,-16064.453125
1133827200007811968,1291.50390625,-281.982421875,-910.64453125,13171.38671875,3466.796875,-16235.3515625
